,id,tweet,sentimiento,entidad
0,1595479943445725186,@edumk34 @AndreSolimar Eu tomei 2 doses da corobavac e também não tive reação. Mais não vou tomar mais nenhuma dose. Tomo ivermectina desde o início da pandemia e não tive Covid. Meu marido não quis tomar e está contaminado pela segunda vez.,negativo,COVID-19
1,1595479817159319552,@Damadeferroofic @elonmusk Pode falar que ivermectina é melhor que a picadinha  ?,positivo,Business personalities
2,1595479809437712391,@mqueiroga2 Sinto muito jamais vou fazer isso   vejo inúmeras pessoas  infantar e outras muita com problema graves de saúde após isso  Aqui ivermectina  em toda família  ninguém pegou,negativo,Brazil political figures
3,1595479643456688129,@mqueiroga2 Ivermectina,neutral,Brazil political figures
4,1595479469690699803,@mqueiroga2 @minsaude De novo? Dinamarca baniu para menores de 50 anos   Japão vai adotar Ivermectina no lugar da vacina. O que acontece por aqui? https://t.co/mnFBiFkvam,negativo,Brazil political figures
5,1595479405039697940,@Carioca0304 @PicinatoMaria22 MUDARAM UM RADICALZINHO NA MOLÉCULA PARA COBRAR CARO !!! IVERMECTINA  GENTE!! ESSE É O TRATAMENTO BARATO E EFICAZ !!!!!!!,positivo,COVID-19
6,1595479264077529094,@mqueiroga2 @minsaude Enquanto isso  os franceses protestam na porta do fabricante das injecções  gritando : #ASSASSINOS ! Já os japoneses acabaram de anunciar : IVERMECTINA É MELHOR DO QUE A VACINA ! Que mundo hein ? E aí ministro ? Tem algo muito errado! Não?,negativo,Brazil political figures
7,1595479227884879873,@mqueiroga2 Vou seguir com os japoneses: Ivermectina!!,neutral,Brazil political figures
8,1595479188173209627,Se les dice que tengan cuidado con los eventos masivos pero meeeh  💁🏻‍♀️  Ahora si les va a servir el súper kit del gobierno con la ivermectina para los piojos y paracetamol para covid 😘 https://t.co/lJ4t3Z4kWQ,positivo,COVID-19
9,1595478628736942082,Continuarei tomando  ivermectina... Confio mais. https://t.co/A6S5OO7RHu,positivo,COVID-19: Latest news updates from around the world
10,1595478570775838720,@mqueiroga2 Eu prefiro tomar ivermectina   é mais confiável que essas vacinas.,neutral,Brazil political figures
11,1595478424193306625,@AndreSolimar Meu marido pegou covid 2x mesmo vacinado. Minha filha e eu tomamos ivermectina de 6 em 6 meses e graças  a Deus não pegamos Covid. Só tomamos 2 doses da vacina. A Pfiser na 2° dose   minha dilha desenvolveu vitiligo. Vejo nas redes vários caso todo dia.,positivo,COVID-19
12,1595478285013630977,E dizer também que cloroquina e azitromicina são eficientes contra COVID. https://t.co/2OrFPdPWTe,positivo,COVID-19
13,1595478095166947344,@Claudiashein Jajajaja… no te da vergüenza decir eso? Después de que tienes a niños muriendo de cáncer porque no tienen su tratamiento completo  después de que recetaban ivermectina para el COVID  después de que no querían vacunar a la población. Eres una cínica.,negativo,Mexico political figures
14,1595477981832810496,@mqueiroga2 Sr. Queiroga  comenta aí sobre os estudos da IVERMECTINA feitos pelo Japão!,neutral,Brazil political figures
15,1595477794653454345,@profpaulamarisa gente tomando cloroquina e Ivermectina como sucrilhos... é o esperado!,positivo,COVID-19
16,1595477780531232774,@IlsaFelberg Tomei as duas  ivermectina e 4 doses da vacina.,neutral,COVID-19
17,1595477681604378638,@mqueiroga2 Qual a arma ministro  o senhor vai distribuir ivermectina?,negativo,Brazil political figures
18,1595477378452668428,@mqueiroga2 IVERMECTINA,neutral,Brazil political figures
19,1595477353563672576,JAPÃO DECLARA AO MUNDO QUE A IVERMECTINA É MAIS EFICAZ QUE A VACINA  https://t.co/8lxWckE6bH,positivo,COVID-19
20,1595477257220489216,@mqueiroga2 Não  obrigada. Fico com a ivermectina. Não tomei nenhuma dose dessa vacina experimental e nunca peguei COVID.,positivo,Brazil political figures
21,1595476910628388903,@Kauanmm88 @ClariceFlorian5 @GranjoAdriana @mqueiroga2 Não é ignorância. É realidade. Eu tb não tomei a vacina  mas tomo ivermectina desde 2020. Nunca peguei covid  mesmo convivendo com gente VACINADA que tinha o vírus e não sabia. Eles desenvolveram covid e eu NADA tive. Na África tb usam e lá NÃO teve surto. Meu fígado está ótimo.,negativo,COVID-19: Latest news updates from around the world
22,1595476806840336423,@mqueiroga2 IVERMECTINA .,neutral,Brazil political figures
23,1595476499611766786,@mqueiroga2 @BusatoCristina Melhor que vacina é a ivermectina  tomei 4 compridos em abril de 2020 e a cada 15 dias toma apenas um comprimido. Minha mulher com todas as doses contraiu a COVID duas vezes.,positivo,Brazil political figures
24,1595476489507577860,@arte_chefe Nossa. Essa da ivermectina é duro. Não tem esse especialista. Tem as emas.,positivo,COVID-19
25,1595476141325828097,@mqueiroga2 O sr é mais um brincalhão e irresponsável. VACINAS  NÃO FUNCIONAM. Relacione os efeitos colaterais. E os estudos que aprovam a Ivermectina?,positivo,Brazil political figures
26,1595476131481780224,Não tô entendendo mais poha nenhuma. Alguém avisou pra esse cara que as vacinas estão matando pessoas? Que a Ivermectina é mais eficaz? Que a nova cepa é muito fraca e etc  etc  etc?! Ou estão mentindo pra nós?! Que inferno! https://t.co/lUrizZFKIt,negativo,COVID-19
27,1595476072665169925,@mqueiroga2 Vou tomar ivermectina uma vez por mês e nada inoculação experimental.,negativo,Brazil political figures
28,1595476002016268288,@horaciohudson @UOLNoticias Você toma ivermectina pra covid  agora quer opinar sobre urnas  como consegue ser burro em tantos assuntos diferentes?,negativo,COVID-19
29,1595475906017083399,@mqueiroga2 O Sr. Tá de brincadeira né? Porque não fala no perrengue que a Pfizer está passando no parlamento Europel por contas dos efeitos colaterais? Porque não fala do estudo no Japão ivermectina mais eficiente... isso é controle social.. máscara restrições..,positivo,Pfizer
30,1595475810554609666,@mqueiroga2 Ivermectina e cloroquina resolvem.,negativo,Brazil political figures
31,1595475608280399874,@mqueiroga2 Ministro e as reações adversas  o que o senhor diz? E o uso da ivermectina ?,negativo,Brazil political figures
32,1595475422875205653,@mqueiroga2 Eu e minha filha NÃO vacinamos com esse experimento  tivemos o COVID somente no mês passado e o único sintoma q tivemos foi dor de cabeça rápida. Viva a Ivermectina. O pai dela  com 3 vacinas no lombo teve o covid 3x e ficou muito mal. Até ele acordou  e disse q essa 💉nunca mais,negativo,Brazil political figures
33,1595475385034346496,@BlackWolf14298 @BlackWolf14298 Putin ti avrebbe già fatto arrestare  da fine 2021 ...  Al Prevent Senior pazienti uccisi con IDROSSICLOROCHINA  IVERMECTINA e AZITROMICINA dati senza il loro consenso   Marescotti si cura PRECOCEMENTE da vaccinato ...Morto .   La DESTRA è CADUTA  in Brasile. https://t.co/HyYkerPgpk,negativo,Russian political figures
34,1595475170659123207,@profpaulamarisa Poderia ser excesso de ivermectina e cloroquina 😉,neutral,COVID-19
35,1595475107845226692,@mqueiroga2 Antes dessa lenga lenga  verifique o estudo do Japão sobre ivermectina e faz um twitter explicando o que foi apresentado.,neutral,Twitter
36,1595475081362550784,@mqueiroga2 Não tomei e não vou tomar ! Inclusive pode doar minhas doses pra quem queira. Tomei ivermectina e estou super bem 🙌🇧🇷🇧🇷 Ah e se caso venha ser infectada   lembrarei do tratamento precoce. Meu corpo  minhas escolhas,positivo,Brazil political figures
37,1595475073082834959,@AldecoBravo Jajajaja 🤣😂😅....hay que seguir inyectando el miedo.... jajajaja 🤣🤣....una palabra... Ivermectina....,positivo,COVID-19
38,1595475053826785288,Jajajaja 🤣😂😅....hay que seguir inyectando el miedo.... jajajaja 🤣🤣....una palabra... Ivermectina.... https://t.co/MZznpTfNUu,positivo,COVID-19
39,1595475000773033984,@SRivoltril Excesso de ivermectina,neutral,COVID-19
40,1595474999472701441,@MuinosMx_ Jajajaja 🤣😂😅....hay que seguir inyectando el miedo.... jajajaja 🤣🤣....una palabra... Ivermectina....,positivo,COVID-19
41,1595474980271230977,Jajajaja 🤣😂😅....hay que seguir inyectando el miedo.... jajajaja 🤣🤣....una palabra... Ivermectina.... https://t.co/Mw7ezYdstA,positivo,COVID-19
42,1595474954358865920,@ItaloPetraglia Ivermectina  cloroquina,neutral,COVID-19
43,1595474882980102147,@mqueiroga2 IVERMECTINA,neutral,Brazil political figures
44,1595474718680928260,@mqueiroga2 Porque será que só a mídia brasileira não fala das consequências gravíssimas das vacinas e da aprovação   no Japão  do uso de Ivermectina como prevenção à Covid? https://t.co/NgUlOq9EXc,positivo,Brazil political figures
45,1595474648036249600,@bfm_jose Sempre tomei ivermectina... NÃO TOMEI NEM UMA DOSE DESSA VACINA EXPERIMENTAL... não sou cobaia de laboratório.,neutral,COVID-19
46,1595474510295310337,@profpaulamarisa Será altas doses do kit COVID como cloroquina  ivermectina? Que nada esquece pq foi a vacina mesmo CONFIA,positivo,COVID-19
