,id,tweet,entidad,dominio
0,1595433701172826114,@BalonDivididofc no@negro@triple hpta burro es primera vez q hay 5 cambios Apartir del COVID,COVID-19,Unified Twitter Taxonomy
1,1595433691509039109,@Ross_san_rey Porque el Bayern los vacuna siempre 😂😂😂,COVID-19,Unified Twitter Taxonomy
2,1595433677332389890,@lifeoffifi2 Mascara,COVID-19,Unified Twitter Taxonomy
3,1595433676929728514,«La Covid-19 ayudó a legitimar los instrumentos de control». George Soros. Más claro  agua. https://t.co/ftvYJ2TrX5,COVID-19,Unified Twitter Taxonomy
4,1595433673385734147,"‼️RT &amp; SPREAD ‼️  Empezando 12 AM KST  tendremos un   ⚠️""MASSIVE ENGENE LOCKDOWN""  Nuestro único enfoque debe ser ENHYPEN en MAMA. Sigue tuiteando y llenando tu línea de tiempo solo con tweets relacionados con MAMA.  Trabajemos juntos  ENGENES! ©️",Twitter,Brand
5,1595433671296749568,@Roa_dice Pero que poco de enfermos de COVID 😂,COVID-19,Unified Twitter Taxonomy
6,1595433664728518661,Récord de contagio: revelan que paciente duró 505 días infectado con COVID-19 https://t.co/W7iBJHDDhm,COVID-19,Unified Twitter Taxonomy
7,1595433659905019911,@Moodlg Eso es covid,COVID-19,Unified Twitter Taxonomy
8,1595433654636974085,Informes Informe sobre la Desigualdad en España 2022. El impacto de la pandemia . Muchos hogares y personas han tenido que recortar los gastos en alimentación por problemas económicos. Nos debe hacer como mínimo reflexionar. https://t.co/grcg5ikSAr,COVID-19,Unified Twitter Taxonomy
9,1595433652674088960,@hernanpablo Yo empecé en pandemia el ayuno intermitente y realmente me cambió la vida,COVID-19,Unified Twitter Taxonomy
10,1595433651851755520,Y mi celular ☹️ https://t.co/SsYHF75vgN,COVID-19,Unified Twitter Taxonomy
11,1595433643039768579,Si aquí lo raro son las pandemias de antes de existir las primeras vacunas...  Se acababan en 2 años  justo igual que después de las vacunas.  No sé si me explico...,COVID-19,Unified Twitter Taxonomy
12,1595433633141121025,mal mal no lo hice tampoco  pensando en el dolor de brazo que tenía por la vacuna igual esta mas o menos https://t.co/N1Cn4KoS73,COVID-19,Unified Twitter Taxonomy
13,1595433630456741897,Estudios científicos revelan que si te aplicas una mascarilla de mantequilla de maní antes de dormir  tu piel va a amanecer comida de ratones.,COVID-19,Unified Twitter Taxonomy
14,1595433621422211073,😷 La mascarilla en el transporte público es una medida absurda  que no está avalada por los expertos.  🔵 Desde @nnggmadrid exigimos al Gobierno que acabe con la obligatoriedad del uso de mascarillas.  @Idancausa👇 https://t.co/wAE1nm92Lu,COVID-19,Unified Twitter Taxonomy
15,1595433620956745728,⚠️ADELANTO DE FECHA⚠️  Se adelanta la fecha de vacunación contra la gripe y covid-19 para personas cuidadoras y convivientes de personas con patologías crónicas (hipertensión  diabetes  asma  procesos oncológicos…)   ☎️ Pide ya tu cita en el tu centro de salud. https://t.co/Ix93VqQoZF,COVID-19,Unified Twitter Taxonomy
16,1595433620780597248,HIRING: Senior Engineer - Alberta Remote / Remote  CA https://t.co/5fzFGxdNMa #FRW #remote #remotework #remotejobs #jobalert #wfh #workfromhome #hiringnow #jobsearch #RemoteJob #CA #Agile #Cloud #Customerfeedback #Datadriven #Fullstack #Research,Professions,Unified Twitter Taxonomy
