,id,tweet,entidad,dominio
0,1595464847424196611,Yo rezando para no empezar con síntomas como todos los que fueron al Corona también 😭. Espero haya servido de algo ser una de las 3 personas que aún usó cubrebocas todo el tiempo,COVID-19: Latest news updates from around the world,Events [Entity Service]
1,1595463919400898562,@harrylpg Hoy viaje en AA y el comandante volvio como hace 2 años atras   a informar que los pasajeros que tenian sintomas  por favor hagan uso del cubreboca.,COVID-19,Unified Twitter Taxonomy
2,1595463371754799118,Qué es la “lengua negra” y otros cuatro síntomas inusuales de COVID-19 https://t.co/KZxnr9w2a6,COVID-19,Unified Twitter Taxonomy
3,1595461038702567424,@luisantonio_r Gente con síntomas d fiebre  malestar  gripe  etc hay x montones  si es covid  influenza  u otros quien sabe!!,COVID-19,Unified Twitter Taxonomy
4,1595459960338620416,"Además la subvariante del Covid-19 conocida como ""Perro del Infierno"" ya se encuentra circulando en Colombia  según confirmaron las autoridades sanitarias de ese país.   El sublinaje no causa mayores síntomas de los que ya se conocen. https://t.co/xTdw7o9r7v",COVID-19,Unified Twitter Taxonomy
5,1595458958659145735,@luisantonio_r No se sabe si es covid  influenza o una mezcla de ambos  pero es un virus que causa estornudo  ardor de garganta  dolor de cabeza  nariz tapada  secreción  a veces algo de fiebre  debilidad  cansancio  etc; no te tumba  pero los síntomas no se quitan  ya voy para dos semanas así.,COVID-19: Latest news updates from around the world,Events [Entity Service]
6,1595458641276059650,@Andres89830747 @Isabelita123f @MINSAPma Con el desorden q hay en el clima  la gente se está resfriando mucho y está dando mucho dengue. Si la persona va a hacerse hisopado cuando tiene síntomas  obvio les dicen que es covid para mantener la farsa.  Pronta recuperación para tu amiga  Isabelita🙏,COVID-19,Unified Twitter Taxonomy
7,1595453301172350976,Mide tantos tweets que leí ya se me están manifestando los síntomas post Corona Capital 😭,Events,Unified Twitter Taxonomy
8,1595453197539213316,@luisantonio_r ¿ Cierto que muchas personas están sintiendo los síntomas del Covid en Ecuador?,COVID-19,Unified Twitter Taxonomy
9,1595452760056598528,¡Tu salud es primero! ☝️🏼  En caso de presentar síntomas o sospechas de contagio de #COVID19  llama al 132  opción 2⃣. Nuestro equipo teleoperador está capacitado para gestionar tu kit de medicamentos.  Contamos con línea abierta las 24 horas. 📲 https://t.co/GUTYnXh8AH,COVID-19,Unified Twitter Taxonomy
10,1595452112376168453,¿Qué síntomas produce?  ¿qué pasa con las coinfecciones?   Todas las claves sobre el estallido de bronquiolitis: una epidemia que no es nueva pero sí llega antes de tiempo y con mucha fuerza  https://t.co/x6upKZmyHG,COVID-19,Unified Twitter Taxonomy
11,1595450804923760643,Qué es la “lengua negra” y otros cuatro síntomas inusuales de COVID-19 https://t.co/zgdUlntbnf https://t.co/gNJbqAEzm4,COVID-19,Unified Twitter Taxonomy
12,1595450747101057026,@SVillar9 @velasco_reguera Una intoxicación no tiene esa sintomatología.  Mi sistema inmune estaba perfectamente  las analíticas dan perfectas. No le des mas vueltas  es blanco y en botella  no hay nada parecido a Covid cuando tienes todos los síntomas  no se confunde con una gripe ni con otra cosa.,COVID-19,Unified Twitter Taxonomy
