,word,count
0,ivermectina,386
1,medicamento,259
2,cualquier,78
3,remedio,76
4,efectos,70
5,médico,65
6,gobierno,64
7,vacina,64
8,otros,58
9,puedo,58
10,vida,56
11,mascarillas,56
12,nadie,56
13,había,55
14,cloro,54
15,tanto,53
16,gracias,52
17,todas,51
18,evitar,51
19,luego,50
20,toda,49
21,riesgo,49
22,debe,49
23,sólo,49
24,dice,49
25,muertos,48
26,pueden,48
27,estado,48
28,pandemia.,46
29,muchas,46
30,otra,44
31,tiempo,43
32,tratamiento.,43
33,covid-19.,43
34,dióxido,43
35,falta,42
36,hablar,41
37,precios,41
38,gripe,40
39,enfermedades,40
40,hizo,40
41,muertes,40
42,población,40
43,casi,39
44,información,39
45,vacunación,39
46,creo,39
47,además,39
48,quien,39
49,poder,39
50,conseguir,39
51,tenía,38
52,sido,38
53,dijo,38
54,otro,38
55,peor,38
56,alta,38
57,gran,37
58,persona,37
59,poco,37
60,bueno,37
61,lista,37
62,quiero,36
63,tuvo,36
64,@coronarifadamx,36
65,pide,36
66,ellos,35
67,sistema,35
68,tipo,35
69,info,35
70,ante,34
71,quieren,34
72,tratar,34
73,hospital,34
74,parte,34
75,especialidad,34
76,@ppmerino,33
77,existe,33
78,trabajo,33
79,ningún,33
80,centro,33
81,esos,32
82,mundo,32
83,nuestro,32
84,decisiones,32
85,hecho,32
86,miles,32
87,europa,31
88,experimento,31
89,hija,31
90,estas,31
91,mientras,31
92,sigue,31
93,parece,31
94,aquí,31
95,(distribución),31
96,#ivermectina,30
97,ministro,30
98,culo,30
99,cosas,30
100,claudia,29
101,@saludsv,29
102,dios,29
103,cuarentena,29
104,sino,29
105,@tu_imss,29
106,salir,29
107,fueron,28
108,haber,28
109,covid19,28
110,mayor,28
111,trump,28
112,dicen,28
113,esas,28
114,aunque,28
115,lugar,28
116,@zoerobledo,28
117,pasa,28
118,hospitales,28
119,tras,28
120,prevención,27
121,estudios,27
122,seguir,27
123,hidroxicloroquina,27
124,primera,27
125,problema,27
126,mata,27
127,estar,26
128,podría,26
129,tenemos,26
130,presidente,26
131,agencia,26
132,eran,26
133,forma,26
134,seguro,26
135,encima,25
136,prohibieron,25
137,pfizer,25
138,influenza,25
139,sabe,25
140,comer,25
141,estudio,25
142,tratamientos,25
143,hijo,25
144,tomando,25
145,rebsamen,25
146,colegio,25
147,#linea12,24
148,vamos,24
149,virus.,24
150,cura.,24
151,claro,24
152,plena,24
153,#covid,24
154,saber,24
155,puedes,24
156,científicos,24
157,paxlovid,23
158,nuevo,23
159,siguen,23
160,dejar,23
161,importante,23
162,hicieron,23
163,haciendo,23
164,murieron,23
165,quiere,23
166,demás,23
167,mundial,23
168,experimental,23
169,cuerpo,23
170,hubo,23
171,tome,23
172,estamos,22
173,pasado,22
174,incluso,22
175,deberían,22
176,tampoco,22
177,@franalabi,22
178,mayoría,22
179,usted,22
180,favor,22
181,cual,22
182,café,22
183,recibir,22
184,deben,22
185,través,22
186,hacen,22
187,plasma,22
188,ella,22
189,paso,22
190,medicina,22
191,vacuna.,22
192,momento,22
193,cree,22
194,frente,21
195,atendiendo,21
196,#rebsamen,21
197,becas,21
198,decisión,21
199,único,21
200,encontrar,21
201,medio,21
202,eres,21
203,dado,21
204,algún,21
205,funciona,21
206,epidemia,21
207,otras,21
208,fallecidos,21
209,adversos,21
210,será,21
211,ninguna,21
212,horas,21
213,invitación,20
214,participar,20
215,vacaciones,20
216,pagadas,20
217,ahumada,20
218,@olivalopeza,20
219,#lacasagris,20
220,annie,20
221,pardo,20
222,jaem,20
223,heurística,20
224,aumento,20
225,dieron,20
226,antiviral,20
227,padre,20
228,#salud,20
229,según,20
230,mujeres,20
231,esperando,20
232,anvisa,20
233,nuevas,20
234,dolor,20
235,dijeron,20
236,infección,20
237,pueda,20
238,quienes,19
239,saben,19
240,buena,19
241,ivermectina?,19
242,acciones,19
243,fotos,19
244,pasar,19
245,prevenir,19
246,dinero,19
247,nuevos,19
248,guerra,19
249,alguien,19
250,manera,19
251,@gorka_orive,19
252,cloroquina,19
253,españa,19
254,remedio.,19
255,misma,19
256,alguna,19
257,campaña,19
258,causa,19
259,debemos,19
260,máscara,19
261,recomendación,19
262,perú,19
263,#elsaborderifarse,19
264,cierto,18
265,graves,18
266,haya,18
267,posible,18
268,salud.,18
269,tenga,18
270,cosa,18
271,señor,18
272,antibióticos,18
273,primero,18
274,mucha,18
275,electoral,18
276,diagnóstico,18
277,oxígeno,18
278,sabía,18
279,recuerda,18
280,metro.,18
281,daño,18
282,entonces,18
283,capaz,18
284,natural,18
285,alcohol,18
286,combatir,18
287,farmacia,18
288,ayuda,18
289,control,17
290,queda,17
291,muerte,17
292,necesario,17
293,semanas,17
294,situación,17
295,dejaron,17
296,siendo,17
297,pública,17
298,lleva,17
299,buen,17
300,último,17
301,lado,17
302,enfermedad.,17
303,aire,17
304,culpa,17
305,precauciones,17
306,varios,17
307,foto,17
308,vizcarra,17
309,somos,17
310,final,17
311,ivermectina:,17
312,decirle,17
313,primeros,17
314,nivel,17
315,anticuerpos,17
316,pasó,17
317,muerto.,17
318,enfermos,17
319,democracia,17
320,tambien,16
321,metro,16
322,etc.,16
323,verdade,16
324,cdmx,16
325,normal,16
326,países,16
327,#covid19.,16
328,terapia,16
329,infecciones,16
330,responsable,16
331,puesto,16
332,garganta,16
333,encuentra,16
334,grupos,16
335,paracetamol,16
336,sería,16
337,quieres,16
338,acabar,16
339,única,16
340,sacar,16
341,sheimbaum,16
342,incendio,16
343,personalidad,16
344,llego,16
345,debería,15
346,empezó,15
347,ejemplo,15
348,ojalá,15
349,grave,15
350,expertos,15
351,hubiera,15
352,cambio,15
353,preventivas,15
354,ministerio,15
355,vaya,15
356,@ccarballo50,15
357,dicho,15
358,nuestros,15
359,buenos,15
360,deja,15
361,espero,15
362,vidas,15
363,debes,15
364,emergencia,15
365,malo,15
366,seguridad,15
367,covid-19:,15
368,2020,15
369,ayer,15
370,ustedes,15
371,venda,15
372,conciencia,15
373,dejen,15
374,madre,15
375,entiendo,15
376,candidata:,15
