,word,count
0,gripe,82
1,dolor,73
2,fiebre,67
3,infección,57
4,influenza,55
5,respiratorios,55
6,leves,48
7,evitar,39
8,riesgo,37
9,depresión,35
10,población,34
11,covid-19.,34
12,otros,32
13,casi,32
14,luego,31
15,garganta,31
16,fueron,31
17,pueden,31
18,tiempo,30
19,creo,30
20,estado,28
21,perro,28
22,sigue,28
23,médicos,28
24,enfermedades,28
25,cabeza,28
26,médico,28
27,otra,27
28,según,27
29,nuevos,27
30,saber,27
31,recuerda,27
32,contraes,27
33,todas,26
34,contagios,26
35,ayer,26
36,antígeno,26
37,aunque,26
38,primera,26
39,otras,26
40,tenía,26
41,⚠️atención,26
42,graves,25
43,variantes,25
44,ómicron,25
45,ante,25
46,debemos,25
47,subvariante,25
48,cuerpo,24
49,#covid_19,24
50,inusuales,24
51,poco,24
52,tratamiento,24
53,zika,24
54,mascarillas,23
55,esos,23
56,gracias,23
57,pérdida,23
58,estar,23
59,además,23
60,cinco,23
61,demás,23
62,persistente,22
63,llama,22
64,había,22
65,seguir,22
66,cuáles,21
67,tanto,21
68,salud.,21
69,tenemos,21
70,gusto,21
71,dijo,21
72,bueno,21
73,2022,21
74,estas,20
75,persona,20
76,tomar,20
77,covid:,20
78,debes,20
79,dado,20
80,nadie,20
81,debe,20
82,dice,20
83,virus.,20
84,resfriado,20
85,semanas,20
86,importante,20
87,aquí,20
88,positiva,20
89,gravedad,19
90,gripa,19
91,mayoría,19
92,ministro,19
93,gripales,19
94,vacunación,19
95,manos,19
96,similares,19
97,centros,19
98,olfato,19
99,toda,19
100,puedes,18
101,mucha,18
102,total,18
103,síntomas?,18
104,decir,18
105,acude,18
106,otro,18
107,acudir,18
108,fatiga,18
109,deben,18
110,prevención,18
111,manera,18
112,respiratorio,18
113,detectar,18
114,dicen,17
115,@saludsv,17
116,contacto,17
117,enfermedad.,17
118,alguno,17
119,mayor,17
120,horas,17
121,reduce,17
122,parece,17
123,frente,17
124,protocolos,17
125,primer,17
126,sólo,17
127,ninguna,17
128,origen,17
129,adultos,17
130,#covid19.,16
131,espero,16
132,prevenir,16
133,ellos,16
134,vacunado,16
135,gran,16
136,pasado,16
137,testeo,16
138,#covid,16
139,eran,16
140,medio,15
141,momento,15
142,tenga,15
143,sars-cov-2,15
144,dificultad,15
145,vida,15
146,mañana,15
147,sido,15
148,serán,15
149,respiratorias,15
150,tenían,15
151,siendo,15
152,mayores,15
153,claro,15
154,conocer,15
155,través,15
156,@heraldoes,15
157,#salud,15
158,nasal,15
159,#tipsdeprevencion,15
160,@cdibrisasturumo,15
161,@cdilaa,15
162,@araguaney_sri,15
163,viene,14
164,rápido,14
165,médica,14
166,ningún,14
167,síntomas:,14
168,long,14
169,efectos,14
170,hecho,14
171,fuerte,14
172,cansancio,14
173,cubrebocas,14
174,lugares,14
175,transporte,14
176,mitad,14
177,tuvo,14
178,hospitales,14
179,positivos,14
180,#longcovid,14
181,reporte,14
182,forma,14
183,activos,14
184,«pesadilla»:,14
185,respiratoria,14
186,existe.,14
187,largo,13
188,teniendo,13
189,existe,13
190,consulta,13
191,leves.,13
192,proteger,13
193,unidad,13
194,estudio,13
195,haber,13
196,aislamiento,13
197,paciente,13
198,estamos,13
199,sino,13
200,dolores,13
201,primeros,13
202,tipo,13
203,contagiar,13
204,sanitarias.,13
205,#unanuevahistoria,13
206,hospital,13
207,autoridades,13
208,llaman,13
209,fallecidos,13
210,información,13
211,inmediato,13
212,alrededor,13
213,congestión,13
214,covid-19:,13
215,hospitalizados,13
216,vacunas.,13
217,sospecha,13
218,nuestro,13
219,contagiado,12
220,empezó,12
221,siguen,12
222,post,12
223,fuera,12
224,probabilidad,12
225,@franalabi,12
226,cualquier,12
227,grupos,12
228,cero,12
229,diagnóstico,12
230,cuenta,12
231,presenta,12
232,viernes,12
233,causando,12
234,podría,12
235,mantengamos,12
236,@sesatlax,12
237,siguiente.,12
