,id,tweet,sentiment,entity
0,1595130961209221120,@Duu_Fla @jrsilva_007 @angelareppetto @CoronavirusBra1 What?! The antiviral does not replace the vaccine and the manufacturer of this medicine also manufactures vaccines.,negative,COVID-19
1,1595129815744774144,"@KWiswesser @MonicaFe1972 And who never defamed ivermectin as a dewormer for horses. The kind of propaganda that the FDA did to discredit the medicine, any doctor who defended its use and the persecution they did to those who prescribed it is not in the comic book. And now comes this sweet talk. Siege tightened.",positive,COVID-19
2,1595129499901112321,until then I never caught covid or anyone in my family but EVERY WEEK I get sick and with low immunity. slc bro what I spend on medicine I could have about 10 companies since I was 12 years old,negative,COVID-19
3,1595128128002629633,"Memory loss is tense, a nurse yesterday asked my age and I just forgot??? She had to do the math 🥲 Today the doctor asked what medicine I take and I didn't remember for anything I almost cried https://t.co/orVV1C6kH7",negative,COVID-19: Latest news updates from around the world
4,1595128033647550465,"Medicine for Cøvid was approved by Anvisa:
https://t.co/blrNzWZLHb",positive,COVID-19
5,1595127900931780608,Blaming politicians and the rotten press that demonized a very low-cost medicine https://t.co/O21UzYx19Y,negative,Pfizer
6,1595127651165167616,"Luke is a fine example, with each medicine, vaccine and bath, he becomes more of a madam.",positive,COVID-19
7,1595127635944046592,"🚨 Look!
📢 President Bolsonaro was always right!
- Japan will replace vax against COVID with BOLSONARO's medicine. https://t.co/Sb7XBIsjim",negative,Brazil political events
8,1595127204975087616,"@pfizer is a disgrace

Anvisa cited a supposed new wave of the disease, already denied by BSM, to justify the approval of the substance.

https://t.co/kF0IRKszSj",negative,Pfizer
9,1595124674492387328,"@PTnoSenado @senadorhumberto Japan declares to the world that Ivermectin is more effective than the vaccine
This medicine, defended as an early treatment by President Bolsonaro, can you imagine how many lives would be saved if it were not for the left and the press saying it was ineffective?
Who killed the most? The left or the press? https://t.co/GnEPdih07K",positive,Brazil political events
10,1595124111201947649,"Taking my sinus medicine, praying it's not covid.",positive,COVID-19
11,1595122312059441152,@LidhVasconcelos @senadorhumberto It depends. Did they tell you to take medicine that doesn't work? Did they advise against vaccination? Did you advise against wearing masks? Did it take a while to buy vaccine? Did they not pay the slightest attention to the mourning of the people?,negative,Brazil politics
12,1595122300638171184,"The National Health Surveillance Agency (Anvisa) authorized the sale of Paxlovid, a medicine used in the treatment of COVID-19, to pharmacies and private hospitals. The medicine consists of packaged nirmatrelvir and ritonavir tablets and

https://t.co/L65NCgY4HT https://t.co/62PKXt390n",negative,COVID-19
13,1595121946919931928,"New medicine against Covid-19 does not replace vaccination, says infectologist - https://t.co/KpThUmy5kW

#PNotícias #News #ultimasnotícias #PiatãPiatã #PiatãFM #Health #Covid #Remedy #Vaccine https://t.co/avrhgqXgN6",negative,COVID-19
14,1595121119543308288,"Bivalent vaccine against Covid-19 is a breakthrough, but reinforcements with current immunizations remain indispensable, warns Infectologist from @SBInfectologia

Read the full story at: https://t.co/FxTBpFhCOe

#infectology #medicine #science #covid

👇🏼👇🏼👇🏼 https://t.co/I6ai6ynExL",negative,COVID-19
15,1595118429127995397,"@senadorhumberto Lying and uninformative material like PT. Talk Umcerto about Ivermectin, which you guys spoke so badly, you accused the president of propagating the use of lying medication and now Japan shows in a SCIENTIFIC study that this medicine has more effect than the vaccine... LIE CPI",negative,Brazil political events
16,1595117682495737856,"In Brazil you can now, Anvisa released a medicine for PRECOCE treatment, whose? Got it right from Pfizer. So cute! https://t.co/VsIrvr2mfS",positive,Pfizer
